reltime/s,C/mA.h,C/A.h,Ewe/V,soc,soc_cell
10161.302229235009,0.0411990852080164,4.11990852080164e-05,0.49384781718254,0.5479934188173078,0.5479934139441772
10171.30242178397,0.0412396314681471,4.12396314681471e-05,0.493962377309799,0.5485327289402655,0.5485327240729493
10181.302614332992,0.0412801782190134,4.12801782190134e-05,0.494038760662078,0.5490720455905496,0.5490720407290477
10191.302806881957,0.0413207246535767,4.132072465357671e-05,0.493981480598449,0.5496113580336539,0.5496113531779665
10201.302999430976,0.0413612711577493,4.1361271157749296e-05,0.493981480598449,0.5501506714026387,0.5501506665527657
10211.303191979998,0.041401817477288,4.1401817477288e-05,0.493943274021148,0.5506899823157886,0.5506899774717299
10221.30338452896,0.0414423631811446,4.14423631811446e-05,0.494038760662078,0.5512292850396853,0.5512292802014409
10231.303577077982,0.0414829091905956,4.14829091905956e-05,0.494191497564315,0.5517685918283255,0.5517685869958954
10241.303769627992,0.0415234550858549,4.15234550858549e-05,0.494363337755203,0.5523078970980898,0.552307892271474
10251.303962176957,0.041564001092618,4.1564001092618e-05,0.494286984205246,0.5528472038509781,0.5528471990301767
10261.304154725978,0.0416045465733677,4.16045465733677e-05,0.494306057691574,0.553386503607306,0.5533864987923188
10271.304347275,0.0416450920461999,4.16450920461999e-05,0.494210600852966,0.5539258032583225,0.5539257984491496
10281.304539823965,0.0416856375243025,4.16856375243025e-05,0.494382441043853,0.5544651029794412,0.5544650981760825
10291.304732372984,0.0417261834227442,4.172618342274421e-05,0.494439721107482,0.555004408291535,0.5550044034939906
10301.304924922006,0.0417667294671235,4.17667294671235e-05,0.494497001171112,0.5555437155447602,0.5555437107530301
10311.305117470967,0.0418072754927638,4.18072754927638e-05,0.494764328002929,0.5560830225487361,0.5560830177628203
10321.30531001999,0.0418478216837473,4.18478216837473e-05,0.494745224714279,0.5566223317519595,0.5566223269718581
10331.305502568954,0.0418883676270533,4.18883676270533e-05,0.494783401489257,0.5571616376607981,0.557161632886511
10341.305695117975,0.0419289131613274,4.19289131613274e-05,0.49463066458702,0.5577009381290599,0.557700933360587
10351.305887666997,0.0419694589693636,4.19694589693636e-05,0.494859784841537,0.5582402422386603,0.5582402374760018
10361.306080217008,0.0420100049182906,4.20100049182906e-05,0.494840681552887,0.5587795482222645,0.5587795434654202
10371.30627276597,0.0420505510021229,4.2050551002122894e-05,0.494764328002929,0.5593188560002583,0.5593188512492284
10381.306465314992,0.0420910974592817,4.2091097459281694e-05,0.494764328002929,0.5598581687439077,0.5598581639986921
10391.306657863955,0.0421316438672947,4.21316438672947e-05,0.494993448257446,0.5603974808338635,0.5603974760944624
10401.306850412975,0.0421721899983136,4.21721899983136e-05,0.495127111673355,0.5609367892394914,0.5609367845059047
10411.307042961998,0.0422127360809054,4.221273608090541e-05,0.495088905096054,0.5614760970009853,0.5614760922732129
10421.307235510962,0.0422532822636504,4.22532822636504e-05,0.495108008384704,0.5620154060946275,0.5620154013726695
10431.307428059985,0.0422938285530209,4.22938285530209e-05,0.495146185159683,0.5625547166065069,0.5625547118903632
10441.307620609005,0.0423343750810555,4.23343750810555e-05,0.495298951864242,0.5630940302928829,0.5630940255825535
10451.307813157968,0.0423749211857461,4.23749211857461e-05,0.495356231927871,0.5636333383483152,0.5636333336438002
10461.30800570699,0.0424154672134327,4.24154672134327e-05,0.495337128639221,0.5641726453795091,0.5641726406808084
10471.308198255952,0.0424560138334184,4.24560138334184e-05,0.495375335216522,0.5647119602889364,0.5647119555960501
10481.308390804974,0.0424965600377336,4.24965600377336e-05,0.495432615280151,0.5652512696694861,0.5652512649824142
10491.308583354985,0.0425371062646371,4.25371062646371e-05,0.49547079205513,0.5657905793504853,0.5657905746692277
10501.308775904006,0.0425776528191456,4.25776528191456e-05,0.49547079205513,0.5663298933889934,0.5663298887135503
10511.30896845297,0.0426181995147204,4.26181995147204e-05,0.495451688766479,0.5668692093038394,0.5668692046342108
10521.309161001993,0.042658746368706,4.2658746368706e-05,0.495699912309646,0.5674085273257243,0.56740852266191
10531.309353550954,0.0426992933959931,4.26992933959931e-05,0.495623558759689,0.5679478476527109,0.5679478429947111
10541.309546099976,0.0427398404916833,4.2739840491683296e-05,0.495661735534668,0.5684871688895344,0.5684871642373491
10551.309738648995,0.042780387267966,4.2780387267966e-05,0.495795398950576,0.5690264858778848,0.5690264812315139
10561.30993119796,0.0428209338607665,4.28209338607665e-05,0.495929062366485,0.5695658004257189,0.5695657957851624
10571.310123746982,0.0428614798025831,4.2861479802583096e-05,0.495890855789184,0.5701051063147468,0.5701051016800046
10581.310316296003,0.042902025771376,4.2902025771376e-05,0.495929062366485,0.5706444125625894,0.5706444079336614
10591.310508844968,0.0429425720933798,4.29425720933798e-05,0.495948135852813,0.5711837235085278,0.5711837188854143
10601.310701393988,0.0429831185534988,4.29831185534988e-05,0.496024519205093,0.5717230362915511,0.571723031674252
10611.310893944,0.0430236647969867,4.3023664796986704e-05,0.496062695980072,0.5722623461931411,0.5722623415816563
10621.311086492962,0.0430642115109403,4.30642115109403e-05,0.496081799268722,0.5728016623524455,0.5728016577467752
10631.311279041984,0.0431047581545454,4.31047581545454e-05,0.49619635939598,0.5733409775760369,0.5733409729761809
